id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
11,Vizzit,810.0,54.0,15.0,Appartement,2 pièce - 54 m² - s,69008,Lyon,45.73141,4.85468,https://www.vizzit.fr/fr/property/appartement/lyon-8/Asat2m0qj6x86qk0,,,Monplaisir / Bachut,T2,3154.0,0,2025.0,0,4579.0,0,3145.0,0,2816.0,0,2932.0,0,1530.0,0,3690.0,0,1032.0,0,1158.0,0,2999.0,0,5404.0,0,1639.0,0,115.0,2,1254.0,0,,0,,0,,0,,0,,0
12,Vizzit,683.0,20.0,34.15,Studio,20 m² - Studio,69007,Lyon,45.73159,4.8303,https://www.vizzit.fr/fr/property/appartement/lyon-7/A05y9spg7atpi3p4,,,Gerland,Studio/T1,3497.0,0,2381.0,0,4140.0,0,2432.0,0,1220.0,0,3160.0,0,873.0,0,3244.0,0,1997.0,0,301.0,3,1821.0,0,5043.0,0,496.0,1,226.0,2,788.0,0,,0,,0,,0,,0,,0
13,Vizzit,593.0,34.0,17.44,Studio,34 m² - Studio,69007,Lyon,45.73285,4.8306,https://www.vizzit.fr/fr/property/appartement/lyon-7/Asytijmmty97pcdj,,,Gerland,Studio/T1,3356.0,0,2241.0,0,4000.0,0,2293.0,0,1129.0,0,3023.0,0,751.0,0,3103.0,0,1855.0,0,332.0,2,1695.0,0,4903.0,0,378.0,1,357.0,2,711.0,0,,0,,0,,0,,0,,0
14,Vizzit,1045.0,74.0,14.12,Appartement,3 pièce - 74 m² - s,69008,Lyon,45.73298,4.87491,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ah0l4g80521ff0ex,,,Monplaisir / Bachut,T3,3344.0,0,2034.0,0,5293.0,0,4160.0,0,4286.0,0,2643.0,0,780.0,0,4516.0,0,159.0,1,216.0,1,4301.0,0,5988.0,0,3022.0,0,469.0,1,2772.0,0,,0,,0,,0,,0,,0
15,Vizzit,875.0,41.0,21.34,Appartement,2 pièce - 41 m² - s,69008,Lyon,45.73298,4.87491,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ax1lvgqvopj0cuxn,,,Monplaisir / Bachut,T2,3344.0,0,2034.0,0,5293.0,0,4160.0,0,4286.0,0,2643.0,0,780.0,0,4516.0,0,159.0,1,216.0,1,4301.0,0,5988.0,0,3022.0,0,469.0,1,2772.0,0,,0,,0,,0,,0,,0
16,Vizzit,740.0,24.0,30.83,Appartement,2 pièce - 24 m² - s,69008,Lyon,45.73298,4.87491,https://www.vizzit.fr/fr/property/appartement/lyon-8/Amubrym5v1fko2q5,,,Monplaisir / Bachut,T2,3344.0,0,2034.0,0,5293.0,0,4160.0,0,4286.0,0,2643.0,0,780.0,0,4516.0,0,159.0,1,216.0,1,4301.0,0,5988.0,0,3022.0,0,469.0,1,2772.0,0,,0,,0,,0,,0,,0
17,Vizzit,622.0,33.0,18.85,Studio,33 m² - Studio,69008,Lyon,45.73322,4.8825,https://www.vizzit.fr/fr/property/appartement/lyon-8/A39w3jn060bwpdgu,,,Monplaisir / Bachut,Studio/T1,3627.0,0,2360.0,0,5679.0,0,4465.0,0,4503.0,0,2375.0,0,303.0,1,4946.0,0,393.0,2,401.0,1,4845.0,0,6326.0,0,3163.0,0,123.0,1,3358.0,0,,0,,0,,0,,0,,0
18,Vizzit,1000.0,68.0,14.71,Appartement,3 pièce - 68 m² - s,69008,Lyon,45.73323,4.8743,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ad83nsehzpaxzce2,,,Monplaisir / Bachut,T3,3297.0,0,1987.0,0,5241.0,0,4110.0,0,4234.0,0,2644.0,0,833.0,0,4463.0,0,185.0,1,215.0,1,4247.0,0,5938.0,0,2986.0,0,514.0,0,2723.0,0,,0,,0,,0,,0,,0
19,Vizzit,1017.0,50.0,20.34,Appartement,2 pièce - 50 m² - s,69007,Lyon,45.73335,4.83733,https://www.vizzit.fr/fr/property/appartement/lyon-7/Airv35slf2j4n7wx,,,Gerland,T2,3254.0,0,2070.0,0,3985.0,0,2321.0,0,1504.0,0,2781.0,0,494.0,1,3068.0,0,1475.0,0,79.0,2,1886.0,0,4878.0,0,309.0,1,294.0,2,227.0,1,,0,,0,,0,,0,,0
20,Vizzit,1300.0,69.0,18.84,Appartement,4 pièce - 69 m² - s,69008,Lyon,45.73336,4.87391,https://www.vizzit.fr/fr/property/appartement/lyon-8/A5tp7m0xd2b6turt,,,Monplaisir / Bachut,Grand (T4+),3271.0,0,1959.0,0,5210.0,0,4081.0,0,4201.0,0,2647.0,0,867.0,0,4431.0,0,208.0,1,219.0,1,4213.0,0,5909.0,0,2966.0,0,481.0,1,2691.0,0,,0,,0,,0,,0,,0
21,Vizzit,895.0,50.0,17.9,Appartement,2 pièce - 50 m² - s,69008,Lyon,45.73336,4.87391,https://www.vizzit.fr/fr/property/appartement/lyon-8/A1p6vlgc9ycfeyz0,,,Monplaisir / Bachut,T2,3271.0,0,1959.0,0,5210.0,0,4081.0,0,4201.0,0,2647.0,0,867.0,0,4431.0,0,208.0,1,219.0,1,4213.0,0,5909.0,0,2966.0,0,481.0,1,2691.0,0,,0,,0,,0,,0,,0
