id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
526,Orpi,120.0,14.0,8.57,Appartement,EXCLUSIVITÉ par mois LOCATION Stationnement 14 m2 4 - Parc Popy Message Portail électri que Favoris,69004,Lyon,45.77971841146308,4.8221544220940675,https://www.orpi.com/annonce-location-stationnement-lyon-4-69004-72c66b64-d844-4cd2-8c30-c8b810430637/,,,Croix-Rousse Plateau,Studio/T1,1390.0,0,661.0,0,793.0,0,837.0,0,683.0,0,439.0,1,199.0,9,1277.0,0,255.0,1,800.0,0,644.0,0,81.0,1,57.0,11,656.0,0,365.0,4,2439.0,0,800.0,0,863.0,0,1299.0,0,384.0,2
527,Orpi,992.0,63.0,15.75,Appartement,3 pièce - 2 chambre - EXCLUSIVITÉ par mois LOCATION s 63 m2 4 - Chazière Message s Balcon Cave Bon état Non meublé Ascenseur Favoris,69004,Lyon,45.78060216572409,4.836437343732807,https://www.orpi.com/annonce-location-appartement-t3-lyon-4-69004-bbc0f879-a1c7-4f7f-96c9-445f22fde96d/,,,Croix-Rousse Plateau,T3,1237.0,0,19.0,9,349.0,3,395.0,1,636.0,0,475.0,1,77.0,11,1004.0,0,308.0,9,150.0,5,340.0,1,139.0,3,171.0,8,316.0,1,657.0,0,1348.0,0,313.0,2,537.0,0,1039.0,0,1354.0,0
528,Orpi,1406.0,55.0,25.56,Appartement,4 pièce - 3  chambre - EXCLUSIVITÉ par mois LOCATION s 55 m2 4 - Place des Tapis Message s Bon état Non meublé Etage : 1 Favoris,69004,Lyon,45.7800548954293,4.83746063207011,https://www.orpi.com/annonce-location-appartement-t4-lyon-4-69004-12398bce-de08-40f9-a1b2-48bb3c310890/,,,Croix-Rousse Plateau,Grand (T4+),1198.0,0,104.0,9,293.0,3,408.0,1,626.0,0,476.0,1,86.0,11,956.0,0,395.0,9,61.0,6,399.0,1,211.0,3,164.0,8,374.0,1,720.0,0,1297.0,0,372.0,3,543.0,0,986.0,0,1450.0,0
529,Orpi,700.0,24.0,29.17,Appartement,1 pièce - EXCLUSIVITÉ par mois LOCATION 24 m2 5 - Saint - Georges Message Studi o Parfait état Meublé Etage : 3 Favoris,69005,Lyon,45.753090030551476,4.788659682149977,https://www.orpi.com/annonce-location-appartement-t1-lyon-5-69005-fb2e98f0-b330-4ce9-b3d4-17fb9aab46cc/,,,Point du Jour / St Just,Studio/T1,3645.0,0,1304.0,0,1277.0,0,2767.0,0,2699.0,0,1738.0,0,310.0,4,2381.0,0,584.0,0,1603.0,0,2080.0,0,2136.0,0,228.0,7,784.0,0,661.0,0,6093.0,0,2641.0,0,2768.0,0,3971.0,0,2037.0,0
530,Orpi,1980.0,126.0,15.71,Appartement,3 pièce - 2 chambre - EXCLUSIVITÉ VISITE VIRTUELLE par mois LOCATION s 126 m2 2 - Ampère M essage s Bon état Meublé Etage : 2 Favoris,69002,Lyon,45.741372330807714,4.815587821035033,https://www.orpi.com/annonce-location-appartement-t3-lyon-2-69002-5680f655-8e13-44c9-9c5c-317d25670e6a/,,,Confluence,T3,2784.0,0,10.0,5,269.0,1,1713.0,0,248.0,2,257.0,1,242.0,6,341.0,1,1748.0,0,271.0,2,46.0,1,1345.0,0,413.0,2,788.0,0,774.0,0,5621.0,0,1302.0,0,1717.0,0,3548.0,0,2181.0,0
531,Orpi,760.0,22.0,34.55,Studio,1 pièce - EXCLUSIVITÉ par mois LOCATION 22 m2 8 - Santy Message Studio Bon ét at Meublé Etage : 1 Favoris,69008,Lyon,45.72908302304611,4.8537839572075665,https://www.orpi.com/annonce-location-appartement-t1-lyon-8-69008-f68a7850-fd5f-4915-ad9a-a96de46c32f1/,,,Monplaisir / Bachut,Studio/T1,3415.0,0,67.0,1,83.0,1,2818.0,0,1877.0,0,712.0,0,243.0,3,462.0,1,1296.0,0,1254.0,0,540.0,0,1347.0,0,230.0,4,314.0,1,1156.0,0,6191.0,0,1889.0,0,2041.0,0,4895.0,0,1013.0,0
532,Orpi,721.0,37.0,19.49,Appartement,2 pièce - EXCLUSIVITÉ par mois LOCATION s 37 m2 4 - Croix Rousse Message 1 cha mbre Bon état Meublé Etage : 3 Favoris,69004,Lyon,45.77722971629526,4.83030056603545,https://www.orpi.com/annonce-location-appartement-t2-lyon-4-69004-291-028089-734/,,,Croix-Rousse Plateau,T2,857.0,0,123.0,18,160.0,5,148.0,2,230.0,3,38.0,4,86.0,14,724.0,0,425.0,6,270.0,7,145.0,2,32.0,4,68.0,14,242.0,2,236.0,2,1933.0,0,296.0,3,175.0,2,740.0,0,1051.0,0
533,Orpi,403.0,22.0,18.32,Studio,1 pièce - EXCLUSIVITÉ VISITE VIRTUELLE par mois LOCATION 22 m2 8 - Moulin à V ent Message Studio Terrasse Bon état Non meublé Rez - de - chaussée Favoris,69008,Lyon,45.72726910871045,4.864690573075105,https://www.orpi.com/annonce-location-appartement-t1-lyon-8-69008-9495430e-f1e8-4404-947c-8d8377923c44/,,,Monplaisir / Bachut,Studio/T1,3686.0,0,733.0,0,525.0,0,3280.0,0,1987.0,0,1010.0,0,258.0,3,633.0,0,1175.0,0,808.0,0,682.0,0,1107.0,0,35.0,2,149.0,1,1264.0,0,6459.0,0,2471.0,0,1939.0,0,5383.0,0,1390.0,0
534,Orpi,950.0,35.0,27.14,Studio,1 pièce - EXCLUSIVITÉ par mois PRIX EN BAISSE LOCATION 35 m2 1 - Terreaux Mes sage Studio Bon état Meublé Etage : 6 Favoris,69001,Lyon,45.77076961739917,4.830253188639602,https://www.orpi.com/annonce-location-appartement-t1-lyon-1-69001-2434-028948-042/,,,Pentes Croix-Rousse,Studio/T1,239.0,2,117.0,54,182.0,4,375.0,1,301.0,5,232.0,7,183.0,15,162.0,6,1122.0,0,228.0,4,269.0,4,587.0,0,68.0,15,366.0,2,911.0,0,2338.0,0,228.0,1,507.0,0,218.0,2,1557.0,0
535,Orpi,1200.0,75.0,16.0,Appartement,3 pièce - EXCLUSIVITÉ par mois LOCATION s 75 m2 5 - Saint - Irénée Message 2 cha mbres Balcon Cave Bon état Meublé Ascenseur Favoris,69005,Lyon,45.762547271866595,4.78562277384113,https://www.orpi.com/annonce-location-appartement-t3-lyon-5-69005-596ba3b4-4379-49e8-aebf-aa24d056471d/,,,Point du Jour / St Just,T3,3617.0,0,961.0,0,932.0,0,2115.0,0,2125.0,0,2050.0,0,355.0,2,2214.0,0,921.0,0,1518.0,0,2023.0,0,2342.0,0,208.0,5,349.0,1,988.0,0,5764.0,0,2024.0,0,2123.0,0,3794.0,0,1991.0,0
