Lieu,Prix,Details,Description_A_Propos,Lien,Addr_Regex,Addr_NLP,Adresse_Finale
Lyon 4ème (69004),1 090 €,45 m² - 2 pièces,"Hemerys vous propose un appartement de type t2 de 45.90 m² au 7 rue du mail. Dans un bel immeuble ancien, découvrez cet appartement entièrement rénové au 1er étage loué nu comprenant un séjour et une cuisine ouverte entièrement meublée et équipée. Un coin n... Voir plus sur lesiteimmo.com",https://www.vizzit.fr/fr/property/appartement/lyon-4/Ant47zipp4y5mglh,7 rue du mail,7 rue du mail,7 rue du mail
Lyon 1er (69001),498 €,34 m² - Studio,"Quai Saint Vincent, proche passerelle homme de la Roche, studio en rez-de-chaussée sur cour intérieure , très bon état, kitchenette équipée réfrigérateur et plaques de cuisson, vaste coin nuit sur grande mezzanine , chauffage individuel électrique Les informations s... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-1/Aqqh7o3u0mywpkla,Quai Saint Vincent,,Quai Saint Vincent
Lyon 3ème (69003),1 390 €,78 m² - 3 pièces,"Location Meublee Lodgis (Référence : 3L323733) : Cet appartement meublé de 78 m², situé Rue Chaponnay, bénéficie d'un véritable cachet grâce à sa hauteur sous plafond et ses murs en pierre apparente. Composé de 2 pièces dont 1 chambre et 1 bureau qui peut se... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-3/Arsa55wppax61qjg,Rue Chaponnay,Rue Chaponnay,Rue Chaponnay
Lyon 3ème (69003),1 289 €,53 m² - 3 pièces,"Disponible le . Dépot de dossiers de candidature en ligne sur notre site internet . Situé au 2ème étage avec ascenseur du 252 Cours Lafayette à Lyon 3. L'appartement meublé se compose d'une entrée avec placard, d'une pièce de vie lumineuse avec cuisine entièrement équipée (four, lave-vaisselle, plaques de cuisson, hotte, réfrigérateur), de deux chambres avec placards murale et une avec cheminée décorative ainsi que d'une salle d'eau et d'un Wc. Une cave est comprise dans la location. Zone Soumise A L'encadrement Des Loyers, loyer médian : 13,10 euros/m2, loyer majoré : 15,70 euros/m2, complément de loyer : 416,90 euros Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-3/Axcw259w84okhmmw,252 Cours Lafayette,252 Cours Lafayette,252 Cours Lafayette
Lyon 7ème (69007),903 €,61 m² - 3 pièces,"Gerland, proche métro Debourg, résidence récente, T3 de 61,33 m² au 4ème étage, séjour, coin cuisine, 2 chambres, garage, chauffage individuel électrique, disponible de suite. Assurance multirisque habitation (facultative) à partir de 23.57 euros par mois. Zone soumise à encadrement des loyers : Loyer de base : 825 euros. Loyer de référence majoré (loyer de base à ne pas dépasser) : 926.08 euros. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le Site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-7/A3tm06ftm9c4urmk,,,
Lyon 2ème (69002),1 702 €,84 m² - 4 pièces,"Nous vous proposons ce T4 meublé de 84m2 situé au 1er étage du 19 rue Childebert dans le 2ème arrondissement de Lyon. Il est composé d'une entrée avec placard desservant une première chambre,puis d'une pièce de vie spacieuse et lumineuse avec une cuisine ouverte, aménagée et équipée (four, plaques de cuisson, refrigérateur), d'une seconde chambre, d'une salle de bain avec Wc et d'une suite parentale avec dressing et salle d'eau privative. Zone soumise à l'encadrement des loyers : Loyer de référence médian : 13,9 euros/m² Loyer majoré : 16,7 euros/m² Complément de loyer : 219,74 euros L'appartement est disponible à partir du . Merci de déposer votre dossier de candidature directement sur",https://www.vizzit.fr/fr/property/appartement/lyon-2/Aeo12knt9wf3s4py,19 rue Childebert,19 rue Childebert,19 rue Childebert
Lyon 7ème (69007),550 €,17 m² - Studio,"Lyon 7ème, 79 Route de Vienne, au premier étage sans ascenseur. Studio meublé de 17m², composé d’une pièce de vie avec coin cuisine équipée et d’une salle d’eau avec Wc. Loyer hors charges : 520,00 € Forfait pour charges : 30,00 € (eau froide incluse) Dépôt ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/A6n4hbzex7rmezpt,79 Route de Vienne,79 Route de Vienne,79 Route de Vienne
Lyon 6ème (69006),2 699 €,104 m² - 3 pièces,"Dans résidence sécurisée de standing, Appartement meublé de prestige à louer à Lyon 6ème arrondissement. Avenue de Grande Bretagne, à proximité immédiate du parc de la tête d'Or et de la Cité Internationale, très bel appartement entièrement rénové de 104 m2. Exposition Est/Ouest sans vis à vis, vue sur le Rhône . Il dispose d'une cuisine séparée entièrement équipée, d'un grand séjour et de 2 chambres (dont 1 chambre d'appoint ou bureau), et salle d'eau, wc indépendant., Terrasse, et Box fermé viennent parfaire ce bien d'exception, en plein coeur du Triangle d'Or. Appartement meublé , équipé, immeuble sécurisé. Charges: chauffage, eau chaude, eau froide. 5Ème étage avec ascenseur, gardienne. Complément de loyer inclus : garage double fermé, climatisation, cuisine entièrement équipée, lave-vaisselle, lave-linge, sèche linge, petit électroménager, mobilier complémentaire de décoration, téléviseurs etc..",https://www.vizzit.fr/fr/property/appartement/lyon-6/Aj2x7m33dmum3o2m,Avenue de Grande Bretagne,Cité Internationale,Avenue de Grande Bretagne
Lyon 6ème (69006),1 140 €,56 m² - 2 pièces,Lyon 6 - Rue de Sèze - Location meublé de Prestige Grand et bel appartement de type T2 de 56m² traversant et exposé sud/nord au 1er étage/6 Idéalement situé dans le quartier très prisé du 6è arrondissement et entièrement meublé. Comprenant une entrée qui dessert u... Voir plus sur seloger.com,https://www.vizzit.fr/fr/property/appartement/lyon-6/A557rgb7ycs31wtf,Rue de Sèze,,Rue de Sèze
Lyon 4ème (69004),850 €,27 m² - 2 pièces,"Hemerys vous propose un appartement de type T2 de 27.30m² au 7 rue du Mail. Dans un bel immeuble ancien, découvrez cet appartement entièrement rénové au 1er étage loué nu comprenant un séjour et une cuisine ouverte entièrement meublée et équipée. Un coin nuit a... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-4/Arewhlbacyj4fy20,7 rue du Mail,7 rue du Mail,7 rue du Mail
Lyon 7ème (69007),1 840 €,87 m² - 4 pièces,"Metro Jean Jaures , superbe appartement au 6° étage avec ascenseur offrant des prestations hôtelières haut de gamme. Calme, lumineux, ce bien offre un séjour plein ouest bénéficiant d'un agréable balcon sans vis à vis, une suite parentale, deux chambres et u... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/A2j4e3ouo5x5hj42,,,
Lyon 8ème (69008),996 €,44 m² - 2 pièces,"Disponible De Suite - T2 Meuble - Residence Récente Appartement 2 pièces 44,65 m² situé rue Professeur Joseph Nicolas 69008 Lyon. Au pied de l'arrêt T6- Mermoz Moselle et à 5 min à pied de l'arrêt Métro D Mermoz Pinel, venez découvrir ce T2 lumineux, meublé avec balcon et place de parking. L'appartement se compose d'une entrée, d'un lumineux séjour /cuisine ouvrant sur un balcon, d'une chambre et d'une salle d'eau avec Wc. Place de parking en sous-sol. Disponible de suite. Chauffage et eau chaude collectifs gaz Loyer : 866 € + Charges 130 € (charges forfaitaire) comprenant eau chaude, eau froide, chauffage et charges générales Loyer Charges comprises : 996 € Dépôt de garantie : 1732 € Frais de mise en location et d'état des lieux : Frais d'agence : 446.50 € Ttc Frais d'état des lieux : 133.95 € Ttc Soit au total : 580.45 € Dpe : Classe C (79 kWh/m²/an) Ges : 12 kg CO²/m²/an Estimation des dépenses énergétiques : Entre 290 et 430 €/an (référence 2023). Loyer de référence : 731.93 € loyer de référence majoré : 879.21 € Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-8/Agri7x6tixrwao25,rue Professeur Joseph Nicolas,,rue Professeur Joseph Nicolas
Lyon 3ème (69003),919 €,54 m² - 2 pièces,"Quartier Lacassagne, proche Tramway, rue de la Ruche, T2 en rez-de-jardin dans résidence récente, séjour ouvrant sur la terrasse, cuisine américaine meublée et équipée d'une plaque de cuisson, hotte et four électrique, une chambre en parquet, une salle d'eau ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-3/Ahk3k4hyfzmt8ha1,rue de la Ruche,rue de la Ruche,rue de la Ruche
Lyon 3ème (69003),1 650 €,110 m² - 4 pièces,"En plein coeur de Lyon, ce bel appartement traversant se situe au 5ème et dernier étage d'un immeuble ancien avec ascenseur. L'entrée dessert une grande pièce de vie lumineuse avec une belle hauteur sous plafond et deux grandes fenêtres. La cuisine toute équipée est ouverte sur le salon et son coin repas Une chambre parentale avec rangements et salle de bain attenante, au calme sur cours intérieure Un Wc indépendant et un grand sellier complète le niveau. L'escalier mène à deux chambres avec rangement pouvant faire office de bureau et un grand dégagement aménageable (salle de jeux, dressing, coin détente?). Une salle d'eau et un Wc à l'étage. Les volumes, la lumière et la localisation de cet appartement en font un bien rare sur le marché. Une cave complète le bien. Chauffage gaz. Climatisation. Loué meublé et équipé. Disponible à partir de fin Février. Transports en communs : Métro : B et D Bus : C4, C11, C12, C24 Tram : T1 15 minutes de la Presqu'île à pieds Loyer : 1650 € charges comprises Provision de charges : 40 € Dépôt de garantie : 3220 € Honoraires d'agence : 920 € Océane - Zone soumise à l'encadrement des loyers : Loyer de référence : 1269,60 € Hc Loyer majoré : 1527,20 € Hc Complément de loyer appliqué : 82,8 € Hc",https://www.vizzit.fr/fr/property/appartement/lyon-3/Abyrcx3t3idvp8zz,cours intérieure Un Wc indépendant,,cours intérieure Un Wc indépendant
Lyon 6ème (69006),573 €,23 m² - 1 pièce,"Visite Sans Rdv Le Jeudi 5 février 2026 entre 17h et 18h, rdv directement sur place au 2 Rue Notre-Dame Lyon 6ème avec votre dossier de candidature. Nous vous remercions de ne pas l'agence et vous présenter directement jeudi pour la visite.... Voir plus

... Voir plus sur guy-hoquet.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/Adjp8uan4igfy9kf,2 Rue Notre-Dame,2 Rue Notre-Dame Lyon 6ème avec votre dossier de candidature,2 Rue Notre-Dame
Lyon 6ème (69006),995 €,52 m² - 2 pièces,"Lyon 6ème - les Brotteaux - Bel appartement T2 de 52,85 m² - Entre Ville Et Vigne - Lyon 6ème - les Brotteaux - Bel appartement T2 de 52,85 m² entièrement meublé et au rez-de-chaussée surélevé, comprenant une entrée avec placards et interphone, une cuisine amé... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/Adc7a5i6uoufiacb,,,
Lyon 3ème (69003),700 €,16 m² - 1 balcon,"T1 rue Paul Bert - Venez découvrir ce joli studio bis meublé de 18 m² situé rue Paul Bert, à proximité du centre commercial et de la gare Part Dieu, proche de toutes commodités. Constitué d'une pièce de vie spacieuse avec mezzanine, décorée avec goût et ouverte s... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-3/A6re8f0ie00zy4xg,rue Paul Bert,,rue Paul Bert
Lyon 3ème (69003),618 €,23 m² - Studio,"Appartement de 23 m2 à louer sur Lyon Studio pour 1 personne. Loyer tout compris : eau, elec et Wifi. Esprit cosy et tendance. Kitchenette, salle d'eau et Wc privatifs, lit 140 x190, coin repas, coin bureau, nombreux rangements. Plaques inductions, micro-ondes, vais... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-3/Algrs9my39lfjngy,,,
Lyon 7ème (69007),710 €,20 m² - Studio,"Appartement de 20 m2 à louer sur Lyon Idéalement placé à 500m des Universités Lyon Ii et Lyon Iii (Quai du Rhône). A 3mn du Métro Saxe-Gambetta (Ligne B et D) et Tramway Rue de l'Université (Ligne Tram T1) – T2 Rue Salomon Reinach, proximité de l'avenue Jean-Jaurès. Qua... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/A2lni0vc0g35bosa,Quai du Rhône,Quai du Rhône,Quai du Rhône
Lyon 8ème (69008),492 €,20 m² - Studio,"Lyon 8ème, à proximité immédiate du métro D ""Laennec"" et de la faculté de Médecine, Immobilière Marie B. Vous propose à la location ce studio de 20,01m² au 5ème étage avec ascenseur d'un immeuble sécurisé et bien entretenu. L'appartement est lumineux et tout ju... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-8/Awb03ciz27sandqd,,,
Lyon 7ème (69007),730 €,17 m² - Studio,"""La Madeleine"" est situé dans le 7ème arrondissement de Lyon au cœur du très recherché quartier St Louis. Cette résidence de services se veut totalement novatrice. Nous vous proposons au dernier étage du coliving ! Studio meublé avec espaces partagés uniquement aux 4 studios du dernier étage : salon avec coin repas et Tv, buanderie (lave linge et sèche linge) et terrasse de 75m2 avec salon de jardin Chaque studio comprend une pièce de vie (armoire, lit double ) avec une jolie cuisine meublée et équipée + kit vaisselle, salle d'eau avec wc suspendu Volets électriques Vous n'avez pas à vous embêter avec des formalités et coût supplémentaires car le loyer est toutes charges comprises : électricité, chauffage, eau, internet Ce lieu ouvert et accueillant se veut convivial et reposant. La résidence profite d'une cour aménagée, arborée en cœur d'îlot qui contribue à la singularité du bâtiment ainsi que de nombreux espaces de partage en rez-de-chaussée comme une cuisine, un espace détente, une buanderie, un espace de Coworking climatisé, jardin et local à vélo La résidence La Madeleine s'est installée dans le nouveau quartier bohème Lyonnais qui a su séduire sa population jeune et dynamique. Place St Louis à 20m Métro à 500 m Commerces à 50 m Bus à 100m Loyer de 650€ Hc dont 261 € de complément de loyer pour les services de la résidence (cuisine commune, un espace détente, une buanderie, un espace de Coworking climatisé, jardin et local à vélo) et les espaces partagés du dernier étage : salon et terrasse de 75m2 Charges de 80€ soit 730 €Cc Dépôt de garantie 1300€ Frais d'agence 260€ Dont frais d'état des lieux de 60€ Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : """".",https://www.vizzit.fr/fr/property/appartement/lyon-7/A3yu3d63a7fc9nnr,Place St Louis,Place St,Place St Louis
Lyon 8ème (69008),"570 €
-4%",18 m² - Studio,,https://www.vizzit.fr/fr/property/appartement/lyon-8/Abiqm83o0zhf4x6j,,,
Lyon 1er (69001),870 €,42 m² - 2 pièces,"Appartement de 42 m2 à louer sur Lyon Joli loft typique « Canuts » sur le haut des pentes de la Croix Rousse, entre le Métro Croix Rousse (ligne C) et de la place Colbert (moins de 5 min à pieds des 2), loué meublé et refait à neuf en 2015. Idéal pour un couple ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-1/Ao12dncn3dxj9ybb,place Colbert,place Colbert,place Colbert
Lyon 9ème (69009),895 €,68 m² - 2 pièces,"Appartement T2 à louer situé au 4? étage avec ascenseur, d?une résidence calme et verdoyante au 5 rue de l?Abbé Papon à Lyon 5. La résidence bénéficie d?un agréable parc arboré avec un lac en fond de propriété, offrant un cadre de vie rare et apaisant. D?Une superficie de 68 m², l?appartement est en très bon état et se compose d?un grand séjour lumineux ouvrant sur un vaste balcon en angle, idéal pour profiter de l?extérieur. La cuisine séparée offre un bel espace à aménager selon vos goûts et vos besoins, idéale pour créer un lieu fonctionnel et personnalisé. Le coin nuit comprend un Wc indépendant, une salle de bains avec une fenêtre ainsi qu?une chambre avec placard. Une cave et un garage fermé complètent ce bien. Le chauffage et l?eau chaude sont individuels électriques. Appartement spacieux, lumineux et agréable à vivre, situé dans un environnement privilégié.",https://www.vizzit.fr/fr/property/appartement/lyon-9/A7ecik2r103xcovt,5 rue de l,5 rue de l?Abbé Papon,5 rue de l
Lyon 2ème (69002),1 019 €,62 m² - 3 pièces,"10 Rue Bellecordiere 69002 Lyon, idéalement situé à deux pas de la place Bellecour, à proximité des commerces et des transports (Métro A et D / Arrêt Bellecour), situé au 2ᵉ étage avec ascenseur d'un immeuble bien entretenue, doté d'une entrée avec rangements, une cuisine séparée, un séjour spacieux, 2 chambres, une salle de bain et un wc.Le chauffage et l'eau chaude sont individuels électriques.",https://www.vizzit.fr/fr/property/appartement/lyon-2/Azenaqxsa4twjmtf,10 Rue Bellecordiere,10 Rue Bellecordiere 69002 Lyon,10 Rue Bellecordiere
Lyon 9ème (69009),690 €,30 m² - 2 pièces,"Pas De Frais D'agence, Residence De Service Les Theoremes, Reserve Exclusivement Aux Etudiants avec gardien, au 39bis rue Sergent Michel Berthet au pied du métro Gare De Vaise, Foncia vous propose en exclusivié un appartement Meuble au dernier étage avec ascenseur, en duplex avec terrasse, séjour coin cuisine, chambre à l'étage, salle de bains avec douche et wc, eau froide incluse dans les charges, laverie à disposition, parking possible avec supplément, Nous Sans Tarder -Visites Accompagnees -",https://www.vizzit.fr/fr/property/appartement/lyon-9/A0ym9mc2axdukyym,39bis rue Sergent Michel Berthet,39bis rue Sergent Michel Berthet,39bis rue Sergent Michel Berthet
Lyon 7ème (69007),690 €,36 m² - Studio,"Proche métro Garibaldi, à deux pas des nombreux commerces et de la Manufacture Des Tabacs, venez découvir ce charmant studio au dernier étage avec ascenseur Entierement Repeint, il se compose d'une entrée, une cuisine équipée ouverte sur séjour, une terrasse exposé Ouest, une salle d'eau, wc, le chauffage est individuel au gaz et un stationnement en sous sol complète cette location, contactez-nous rapidement.",https://www.vizzit.fr/fr/property/appartement/lyon-7/Apfa8x1rn0vupd70,,,
Lyon 1er (69001),2 640 €,135 m² - 5 pièces,"Coup de cœur pour cet appartement de 135 m², idéalement situé en bas des pentes du 1er, au 5ème étage sans ascenseur, dans un immeuble Soufflot de 250 ans, rempli d'histoire, avec ses pierres de taille.
En entrant dans l'appartement, une cuisine ouverte équipée, avec tous les appareils électroménagers nécessaire. Le séjour d'une superficie de 50 m², le cœur de l'appartement, avec ses poutres apparentes, sa cheminée et son parquet, , d'un canapé confortable, avec 3 fenêtres donnant sur la rue Royale.
La salle d'eau, avec une douche à l'italienne, deux fenêtres oscillo-battantes sur cour, vient compléter l'agencement de l'appartement. Deux wc sont à disposition.
Le logement, au cœur du centre-ville de Lyon, est situé à 5 mn à pied du métro l'hôtel de ville, du réseau de bus, de l'opéra, de la place des terreaux. La zone compte de nombreux restaurants, bars, et magasins
Le prix inclut toutes les charges (Chauffage gaz, électricité, eau, internet, de copropriété) pas d'abonnement à prévoir. Bail de location individuel. Appartement non-fumeur.",https://www.vizzit.fr/fr/property/appartement/lyon-1/Alynx8zyhd2f327w,place des terreaux,rue Royale,place des terreaux
Lyon 3ème (69003),695 €,46 m² - 2 pièces,"Exclusivité -
Au 6ème et dernier étage, Citya Vendôme Lumière vous propose à la location dans un immeuble ancien et sécurisé un appartement de 2 pièces de 46 m². Il comprend, un séjour, une chambre, une cuisine indépendante et une salle de bains. Voir plus
... Voir plus sur citya.com",https://www.vizzit.fr/fr/property/appartement/lyon-3/A2wqc1t8m9km5rq6,,,
Lyon 3ème (69003),850 €,33 m² - 1 pièce,"T1 meublé situé au 4ème étage - 100 cours Lafayette – Lyon 3ème Particulier loue Appartement de 33 m2 (Appartement 26 m2 + Loggia / Terrasse 14 m2) au cœur du nouveau quartier de la Part Dieu avec tous les commerces et commodités au pied de l’immeuble 100 Lafayette (centre commercial, Halle Bocuse, commerces, Gare Sncf La part Dieu, transports en commun, ….) sans frais d'agence. Disponible au 1er avril 2026 Loyer 820 €/mois + 30 € de provisions de charges/mois Pas de frais d'agence (particulier à particulier). Dépôt de garantie de 1250 €. Garant sérieux exigé. Chauffage : individuel électrique (radiateurs à inertie neufs) Eau froide : comprise dans les charges Edf & assurance habitation : à souscrire par le Preneur Une cave est comprise dans la location La salle de bain dispose : douche spacieuse, Wc, emplacement avec machine à laver, meuble sous vasque à tiroirs pour plus de confort La cuisine équipée dispose : nombreux meubles de rangement, réfrigérateur, une plaque de cuisson, un four Une pièce à vivre avec 2 larges baies vitrées (double vitrage) à la vue imprenable donnant sur une grande terrasse/loggia Nombreuses photos et visite virtuelle par vidéo sur demande",https://www.vizzit.fr/fr/property/appartement/lyon-3/Aqe2uocy2jsxe03n,100 cours Lafayette –,100 cours Lafayette – Lyon 3ème Particulier loue Appartement de 33 m2 (Appartement 26 m2 + Loggia / Terrasse 14 m2),100 cours Lafayette –
Lyon 7ème (69007),622 €,26 m² - 1 pièce,"Charmant t1 de 27 m² au 3ème étage d'un immeuble de caractères, possédant entrée, une cuisine indépendante, une pièce principale avec alcôve, une salle d'eau avec wc. Proche des commerces (Place Saint Louis) et proche des transports en commun (métro D : saxe Gambetta). Disponible de suite. Pour visiter, merci de déposer au préalable votre dossier de candidature en ligne : rendez-vous sur notre site internet, rubrique ""Location"", ""Mon dossier en ligne"". Visite virtuelle à 360° disponible.",https://www.vizzit.fr/fr/property/appartement/lyon-7/Apv4htnbt7p8dlx8,Place Saint Louis,Place Saint Louis,Place Saint Louis
Lyon 1er (69001),800 €,25 m² - Meublé,"Bonjour, Je m’appelle Sarah, j’ai 26 ans et je suis actuellement en recherche urgente d’un appartement, ma propriétaire souhaitant récupérer son logement. J’Ai donc un délai de trois mois pour trouver un nouveau logement. Je suis locataire soigneuse, respectueuse et calme, vivant seule, et attachée à entretenir correctement mon appartement. Type de bien recherché ? Je recherche idéalement : un T1 bis ou un T2 ou un grand studio, éventuellement avec mezzanine, ou simplement bien agencé et suffisamment spacieux. Situation professionnelle ? Je travaille : en tant qu’animatrice pédagogique dans une école maternelle et élémentaire depuis 4 ans, et également dans une structure d’accueil d’enfants privés depuis le mois de septembre. Je suis en Cdi, avec des revenus mensuels d’environ 1 600 € net. Je suis consciente que ce montant peut parfois paraître juste, mais je tiens à préciser que j’assume actuellement un loyer de 670 € depuis un an, sans aucun incident, toujours réglé sans difficulté. Je vis seule, je sais gérer mon budget et faire attention au quotidien. Secteurs recherchés ? Je recherche un appartement sur : Lyon (la majorité des arrondissements) Lyon 4ᵉ (arrondissement de prédilection si possible) Villeurbanne Caluire-et-Cuire Vaulx-en-Velin Loyer maximum : 700€ charges comprises. Je reste ouverte à toute proposition correspondant à ces secteurs. Je serais ravie d’échanger avec vous et de vous fournir tout document nécessaire. Merci par avance pour votre attention et votre confiance. Chaleureusement, Sarah.",https://www.vizzit.fr/fr/property/appartement/lyon-1/Aoiq3v91q3qt69yt,,,
Lyon 4ème (69004),1 396 €,72 m² - 3 pièces,"Particulier loue Quai Joseph Gillet Lyon 4ème, sur les quais de Saône, appartement T3 en rez-de-jardin totalement rénové en 2020. D'une surface de 72 m2, ce bien est composé d'une entrée avec placard, d’un séjour avec accès à la petite terrasse exposée sud-ouest, d’une cuisine, d'une buanderie/cellier, de 2 belles chambres, d’une salle de bains et de Wc séparés. Chambre 1 de 11,67 m2 avec grand placard, parquet stratifié. Chambre 2 de 10,11m2, parquet stratifié. Cuisine entièrement équipée. Electroménager de qualité ( Whirlpool ) + buanderie avec congélateur. Sdb refaite à neuf avec douche à l'Italienne Grand placard dans le couloir des chambres. Luminaires et stores en place. Garage fermé en sous-sol sécurisé et grande cave. Chauffage individuel électrique (radiateurs neufs) Résidence bien entretenue, saine et sécurisée avec concierge. Arrêts de bus en face de la résidence et station Vélo'v à proximité. Loyer 1116 € hors charges , garage indissociable : 140 € , cave indissociable : 60 € 80 € de provision sur charges Dépôt de garantie : 1 mois de loyer hors charges Garant exigé.",https://www.vizzit.fr/fr/property/appartement/lyon-4/Aen7nqu0s5g192rt,Quai Joseph Gillet,,Quai Joseph Gillet
Lyon 8ème (69008),665 €,35 m² - 1 pièce,"Afin de pouvoir organiser des visites, nous demandons de nous faire parvenir les documents suivants pour une premiere sélection ( ceci n’est pas le dossier complet) - Inscription scolaire - ou - dernier bulletin de salaire - Dernière quittance ou attestation des parents Pour le garant, qui devra être présent le jour de la signature du bail : dernière quittance de loyer ou avis de taxe foncière - dernier bulletin de salaire maud 1234 at free fr Lyon 69008, fac médecine, hôpital Edouard Herriot, 32 rue Gabriel Sarrazin, métro, bus, tram, 1er étage ouest, sur cour intérieure, ascenseur ,très clair et très calme ( pas de bruit de rue), dans petit immeuble 1954, bien entretenu, 1 pièce principale parquet ( faisant fonction de séjour et chambre), 1 cuisine séparée avec balcon, salle de bains avec baignoire, Wc séparé., 1 grand hall d’entrée avec placard. Cuisine avec meubles haut et sous-évier , plaque de cuisson, hotte aspirante, plan de travail. Fenêtre et porte-fenêtre Pvc doubles vitrages, chauffage individuel electrique. Libre Loyer 625 € + 40€ de charges ( dont eau froide et taxe ordures menagères) , soit un total de 665 €, pas de frais d’agence, Dépôt de garantie 1 mois, garant salarié Cdi (il doit être présent le jour de la signature du bail)",https://www.vizzit.fr/fr/property/appartement/lyon-8/A1202d2aru0d2b4m,32 rue Gabriel Sarrazin,32 rue Gabriel Sarrazin,32 rue Gabriel Sarrazin
Lyon 7ème (69007),1 760 €,101 m² - 4 pièces,"Appartement T4 de 101 m² de surface habitable + un balcon de 9 m², lumineux et traversant. Il est situé au 5ème étage (avec ascenseur) dans un bel immeuble que fait angle entre l'Avenue Jean Jaurès et la rue Domer. Loué meublé avec cuisine équipée, canapé, étagères, un lit et un placard intégré dans chaque une des 3 chambres. Le bien est complété avec 2 salles de bains (une à l’intérieur de la chambre parentale), 2 Wc, 1 séjour, 1 buanderie et 1 cellier. Possibilité de louer un garage fermé en supplément pour 110 euros supplémentaires. Le bien est situé à proximité de la gare de Jean Macé, tramway T2, Métro B, réseau de bus, dans un quartier très sympathique entouré de toutes les commodités : super marches, pharmacies, pressing et une large variété des restaurants. Notre appartement est également à la vente, donc situation idéale pour des personnes cherchons à acheter dans le quartier et que souhaite de tester le bien et le quartier en amont. Mentions Légales : Le Dpe réalisé en 2024 indiquer la consommation en énergie finale du logement en tant que : Consommation conventionnelle : 131 kWh ep/m².an (Classe C) Estimation des émissions : 4 kg eqCO2/m².an (Classe A) Estimation des coûts annuels : entre 1 050 € et 1 470 € par an, prix moyen des 105 euros / mois. Énergies indexées sur les années 2021, 2022, 2023 Méthode : 3Cl-Dpe 2021 N° Ademe : d Zone soumise à l’encadrement des loyers : 13.8 au m2 (Loyer de base) et 16.6 au m2 Loyer de référence majoré.",https://www.vizzit.fr/fr/property/appartement/lyon-7/Aie9gtznvaxbtl2z,Avenue Jean Jaurès,Avenue Jean Jaurès,Avenue Jean Jaurès
Lyon 3ème (69003),1 199 €,60 m² - 2 pièces,"Appartement T2 traversant situé à Saxe Gambetta / Place Victor Basch, Métro ligne B et D au pied de l'immeuble. Au 2ᵉ étage avec ascenseur d’une copropriété de standing, ce superbe T2 meublé (possibilité d'enlever les meubles si besoin) de 60 m² entièrement rénové en 2019, offre des prestations de qualité. L’Appartement se compose : - D’un vaste séjour avec cuisine ouverte d’environ 35 m² - D’une chambre de 11 m² donnant sur cour intérieure - D’une grande salle de bains avec dressing - De nombreux rangements intégrés - D’un balcon avec vue dégagée - D’une cave en sous-sol saine et non humide. Prestations et équipements : - Dpe C – excellente isolation thermique et phonique - Climatisation réversible - Chauffage collectif inclus dans les charges - Ballon d’eau chaude individuel - Cuisine équipée : plaque à induction, four, four micro-ondes, réfrigérateur, congélateur, cave à vin. - Local vélo dans la copropriété Conditions de location : - Disponible immédiatement - Bail meublé de 1 an reconduit tacitement - Loyer mensuel charges comprises : 1 199 € Cc - Loyer hors charges : 1069 € - Charges mensuelles : 130 € (comprenant chauffage, eau froide) - Dépôt de garantie : 1600 €",https://www.vizzit.fr/fr/property/appartement/lyon-3/A3jkugq3w0qcyn7b,Place Victor Basch,Place Victor Basch,Place Victor Basch
Lyon 1er (69001),650 €,24 m² - Studio,A louer studio de 24m2 idéalement situé dans le 1er arrondissement de Lyon .il est situé sur la presqu’île de Lyon se trouve : à proximité des commerces nécessaire la vie de tous les jours à proximité immédiate des quais de Saône à 10 minutes à pied de l’arrêt de métro Hôtel de Ville - Louis Pradel desservi par les lignes A & C,https://www.vizzit.fr/fr/property/appartement/lyon-1/Abzc67u9in968qjb,,,
