Lieu,Prix,Details,Description_A_Propos,Lien,Addr_Regex,Addr_NLP,Adresse_Finale
Lyon 9ème (69009),650 €,26 m² - 1 pièce,"Présentation du bien: Disponible de suite. Dépot de candidature directement sur Dans un immeuble sécurisé, situé 49 rue de Bourgogne dans le neuvièeme arrondissmeent de ltyon nous vous proposons un T1 de 26 m2 au 2ème étage sans ascenseur L'appartement se compose d'une entrée, d'une cuisine équipée (plaque de cuisson, hotte, réfrigérateur), d'une pièce de vie ainsi d'une salle d'eau avec Wc. Chauffage, eau chaude et au froide : Individuels. Zone Soumise A L'encadrement Des Loyers, loyer médian : 16,00 euros / m2, loyer majoré : 19,20 euros/m2 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : .",https://www.vizzit.fr/fr/property/appartement/lyon-9/At4m5p45cwzoitv2,49 rue de Bourgogne,49 rue de Bourgogne,49 rue de Bourgogne
Lyon 4ème (69004),850 €,25 m² - 2 pièces,"Bail Civil - T2 Duplex - Lyon 4 38 Cours d'Herbouville Lyon 69004 Merci de nous appeler afin de fixer un Rdv. Venez découvrir cet appartement duplex de 25,09m2 situé au 1er étage accessible depuis la cour. Caractéristiques du logement : Rez-de-chaussée : Une cui... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-4/Aclwwfuf23g8fia6,38 Cours d'Herbouville,38 Cours d'Herbouville Lyon 69004 Merci de nous appeler afin de fixer un Rdv,38 Cours d'Herbouville
Lyon 7ème (69007),571 €,23 m² - 1 pièce,"Nous vous précisons qu'une pré-étude de votre dossier sera effectuée avant l'organisation d'une visite sur place. Pour déposer votre dossier, rendez-vous directement sur notre site internet, sur la page de l'annonce via le bouton 'Déposer ma candidature en lig... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/Auc9r577czu72bec,,,
Lyon 6ème (69006),971 €,60 m² - 3 pièces,"A voir ce F3, au 7e étage avec ascenseur, avec une belle vue, en bon état, il se compose d'un grand séjour donnant sur un petit balcon, une petite cuisine, 2 chambres avec placards, une petite salle d'eau et 1 Wc. Vous avez un garage sur cour à 2mn à pied. L'eau froide est comprise dans les charges avec régularisation annuelle. Le chauffage est assuré par des convecteurs électriques et les fenêtres sont à double vitrage. Le sol est en carrelage et parquets flottants. Il est à proximité du tramway T1, du bus Tb11, de la Part-dieu, du Parc de le Tête D'or et de tous commerces. Charges du locataire : 65€ Zone soumise à encadrements des loyers Loyer de base : 722.04€€ Loyer de base majoré : 866.45€ Complément de loyer : 19.55€ garage Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-6/A2r2ghc15naxcu6n,,,
Lyon 2ème (69002),811 €,24 m² - 1 pièce,"Location Meublee Lyon 2ème - Dans un bel immeuble ancien, appartement T1 duplex rénové, au quatrième étage avec ascenseur, composé d'une entrée avec un placard, cuisine équipée ouverte sur séjour, Wc indépendant. A l'étage une mezzanine composée d'une chambre, sa... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-2/A41bkv4q2243we2s,,,
Lyon 7ème (69007),945 €,55 m² - 3 pièces,"Idéalement situé, rue Bancel dans le 7ème arrondissement, venez découvrir cet appartement T3 offrant : Une entrée, une cuisine / salle à manger totalement équipée, un séjour avec alcôve (dans laquelle se trouve un lit en 140), une chambre, une salle d'eau et un Wc séparé. Appartement totalement refait en 2020. Chauffage individuel électrique. Disponible le 10 février 2026 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : .",https://www.vizzit.fr/fr/property/appartement/lyon-7/Ahelehutepz1i2jd,rue Bancel,rue Bancel,rue Bancel
Lyon 7ème (69007),945 €,55 m² - 3 pièces,"Idéalement situé, rue Bancel dans le 7ème arrondissement, venez découvrir cet appartement T3 offrant : Une entrée, une cuisine / salle à manger totalement équipée, un séjour avec alcôve (dans laquelle se trouve un lit en 140), une chambre, une salle d'eau ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/Aea0rysjtbs4pulq,rue Bancel,rue Bancel,rue Bancel
Lyon 6ème (69006),760 €,35 m² - 1 pièce,"La Régie Agis vous propose à la location un appartement meublé de 35,38 m², situé au 3ème étage avec ascenseur. Il se compose d'une entrée desservant une cuisine, une pièce principale ainsi qu'une salle de bains avec Wc. L'appartement bénéficie d'une situation idé... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/Anf2lyesv7byipyi,,,
Lyon 6ème (69006),760 €,35 m² - 1 pièce,"La Régie Agis vous propose à la location un appartement meublé de 35,38 m², situé au 2ème étage avec ascenseur. Il se compose d'une entrée desservant une cuisine, une pièce principale ainsi qu'une salle de bains avec Wc. L'appartement bénéficie d'une situation idé... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/A7932d2198wpl52e,,,
Lyon 1er (69001),1 270 €,86 m² - 3 pièces,"Appartement 3 pièces Lyon 1er - A Louer Quartier Martiniere, Proche Quai Saint-Vincent, Proche Toutes Commodites, Rue Sergent Blandan A Lyon 1Er Appartement 3 pièces de 86.05 m² situé au 1er étage sans ascenseur. Il est composé d'un séjour, d'une cuisine, de deux chambres dont une avec alcôve, une salle de bains, un toilette séparé. Chauffage: Individuel électrique - Eau chaude : Individuelle électrique - Eau froide : Individuelle Libre Immediatement loyer de référence : 1 135.86 € - loyer de référence majoré : 1 359.59 € Important ! Pour vous permettre de visiter le bien il convient de déposer votre dossier au préalable sur notre site lien directement sur l'annonce. Loyer de 1 270,00 euros par mois charges comprises dont 20,00 euros par mois de provision pour charges (soumis la régularisation annuelle). Les honoraires charge locataire sont de 1 128,98 euros ( soit 13,12 euros/m² ) dont 260,73 euros pour état des lieux ( soit 3,03 euros/m² ). Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1290 et 1790 euros. Prix moyens des énergies indexés en 2021. Zone soumise encadrement des loyers. Le loyer de base du bien proposé est de 1250 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 1359,59 euros",https://www.vizzit.fr/fr/property/appartement/lyon-1/Ajt34jlbeubb9o0l,Rue Sergent Blandan A,Rue Sergent Blandan A Lyon 1Er,Rue Sergent Blandan A
