id_annonce,site,prix,surface,prix_m2,type,description,description_raw,description_detail,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,statut,derniere_verification_http,sur_carte,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m,source_localisation,position_fiable,precision_localisation,archive_le
1513,SeLoger,1113.0,69.0,16.13,Appartement,"3 pièce - 2 chambre - s, s, 69 m², dès le 31/08/2026",,,59000,Lille,50.62250192378184,3.0341717223222955,https://www.seloger.com/wl-cdp/26S3IRZ22VVG,,2026-08-12,a_verifier,,False,Faubourg de Béthune,T3,,0.0,638.0,0.0,167.0,1.0,1600.0,0.0,1061.0,0.0,765.0,0.0,209.0,18.0,1825.0,0.0,194.0,1.0,731.0,0.0,706.0,0.0,927.0,0.0,234.0,6.0,146.0,1.0,377.0,1.0,3431.0,0.0,1843.0,0.0,1163.0,0.0,2178.0,0.0,1695.0,0.0,gps,,,2026-09-25
1514,SeLoger,823.0,255.0,3.23,Appartement,"1 pièce - 10 chambre - s, 255 m², RDC",,,59000,Lille,50.61419542513256,3.058935742924364,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/25W8BQHFM4PT,,2026-08-12,a_verifier,,False,Lille-Sud,Studio/T1,,0.0,601.0,0.0,428.0,1.0,1743.0,0.0,1485.0,0.0,454.0,1.0,152.0,12.0,1047.0,0.0,261.0,1.0,665.0,0.0,760.0,0.0,1068.0,0.0,192.0,4.0,872.0,0.0,727.0,0.0,2796.0,0.0,1802.0,0.0,887.0,0.0,1192.0,0.0,571.0,0.0,gps,,,2026-09-25
1515,SeLoger,436.0,16.7,26.11,Appartement,"1 pièce - 16,7 m², Étage 1/1",,,59000,Lille,50.633209407907664,3.0666716587729845,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26U39WFVMR9K,,2026-08-12,a_verifier,,False,Lille-Centre,Studio/T1,,0.0,62.0,25.0,308.0,1.0,307.0,1.0,298.0,1.0,134.0,3.0,311.0,3.0,524.0,0.0,846.0,0.0,43.0,6.0,158.0,7.0,1118.0,0.0,147.0,8.0,76.0,2.0,282.0,1.0,848.0,0.0,625.0,0.0,135.0,4.0,651.0,0.0,1473.0,0.0,gps,,,2026-09-25
1516,SeLoger,694.0,42.7,16.25,Appartement,"1 pièce - 42,7 m², Étage 5/5",,,59000,Lille,50.63270912223494,3.040734689151541,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26X5NF44VLMW,,2026-08-12,a_verifier,,False,Vauban-Esquermes,Studio/T1,,0.0,123.0,7.0,453.0,1.0,720.0,0.0,852.0,0.0,1020.0,0.0,82.0,16.0,996.0,0.0,473.0,1.0,613.0,0.0,487.0,1.0,598.0,0.0,231.0,12.0,804.0,0.0,499.0,1.0,2633.0,0.0,1188.0,0.0,1317.0,0.0,1950.0,0.0,2426.0,0.0,gps,,,2026-09-25
1517,SeLoger,770.0,48.0,16.04,Appartement,"2 pièce - 1 chambre - s, , 48 m², Étage - 2/2",,,59000,Lille,50.63498881369007,3.021076658667667,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26VEEMFGFYBK,,2026-08-12,a_verifier,,False,Bois Blancs,T2,,0.0,349.0,2.0,787.0,0.0,362.0,1.0,792.0,0.0,339.0,2.0,275.0,3.0,2396.0,0.0,340.0,2.0,122.0,1.0,351.0,2.0,475.0,1.0,526.0,0.0,1195.0,0.0,444.0,1.0,3991.0,0.0,2597.0,0.0,589.0,0.0,3316.0,0.0,1087.0,0.0,gps,,,2026-09-25
1518,SeLoger,900.0,40.0,22.5,Appartement,"1 pièce - 40 m², 2 étages",,,59000,Lille,50.64582780193067,3.0417561300072418,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/2654ARWSF1LR,,2026-08-12,a_verifier,,False,Vauban-Esquermes,Studio/T1,,0.0,651.0,0.0,1799.0,0.0,1564.0,0.0,1156.0,0.0,1360.0,0.0,405.0,1.0,1533.0,0.0,1551.0,0.0,1521.0,0.0,1290.0,0.0,1499.0,0.0,939.0,0.0,1096.0,0.0,1672.0,0.0,2739.0,0.0,1521.0,0.0,1616.0,0.0,2477.0,0.0,2481.0,0.0,gps,,,2026-09-25
1519,SeLoger,505.0,21.6,23.38,Appartement,"1 pièce - 21,6 m², Étage 4/4",,,59000,Lille,50.620678716232646,3.069736067839924,https://www.seloger.com/annonces/locations/appartement/lille-59/276162653.htm,,2026-08-12,a_verifier,,False,Lille-Moulins,Studio/T1,,0.0,158.0,11.0,724.0,0.0,1287.0,0.0,1083.0,0.0,255.0,1.0,93.0,11.0,561.0,0.0,245.0,2.0,230.0,1.0,117.0,4.0,455.0,1.0,75.0,12.0,957.0,0.0,1288.0,0.0,1831.0,0.0,1385.0,0.0,256.0,1.0,520.0,0.0,1602.0,0.0,gps,,,2026-09-25
1520,SeLoger,810.0,34.2,23.68,Appartement,"2 pièce - 1 chambre - s, , 34,2 m², Étage 3/3",,,59000,Lille,50.63369654579688,3.069042516657488,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/274040205.htm,,2026-08-12,a_verifier,,False,Lille-Centre,T2,,0.0,100.0,23.0,482.0,1.0,477.0,1.0,416.0,1.0,265.0,3.0,225.0,3.0,497.0,1.0,1019.0,0.0,132.0,6.0,285.0,6.0,1293.0,0.0,60.0,10.0,144.0,2.0,186.0,1.0,674.0,0.0,800.0,0.0,87.0,3.0,490.0,1.0,1329.0,0.0,gps,,,2026-09-25
1521,SeLoger,2919.0,184.9,15.79,Appartement,"4 pièce - 3 chambre - s, s, 184,9 m², étage",,,59000,Lille,50.63513176290114,3.070098163735502,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/234372627.htm,,2026-08-12,a_verifier,,False,Lille-Centre,Grand (T4+),,0.0,41.0,22.0,602.0,0.0,588.0,0.0,466.0,1.0,240.0,4.0,154.0,3.0,390.0,1.0,1127.0,0.0,50.0,6.0,151.0,6.0,1415.0,0.0,116.0,8.0,260.0,2.0,321.0,1.0,548.0,0.0,823.0,0.0,131.0,3.0,329.0,1.0,1156.0,0.0,gps,,,2026-09-25
1522,SeLoger,610.0,35.0,17.43,Appartement,"2 pièce - 1 chambre - s, , 35 m², RDC",,,59000,Lille,50.618235100024215,3.0731609010952536,https://www.seloger.com/annonces/locations/appartement/lille-59/275832335.htm,,2026-08-12,a_verifier,,False,Lille-Moulins,T2,,0.0,440.0,2.0,898.0,0.0,1647.0,0.0,1443.0,0.0,611.0,0.0,175.0,14.0,583.0,0.0,161.0,2.0,188.0,1.0,121.0,4.0,92.0,1.0,126.0,7.0,1193.0,0.0,1560.0,0.0,2041.0,0.0,1747.0,0.0,615.0,0.0,884.0,0.0,1671.0,0.0,gps,,,2026-09-25
