id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
991,SeLoger,1062.0,53.6,19.81,Appartement,"2 pièce - 1 chambre - s, , 53,6 m², Étage 4/4",69007,Lyon,45.74847138283122,4.846671055126269,https://www.seloger.com/annonces/locations/appartement/lyon-69/260817705.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Guillotière / Jean Macé,T2,1426.0,0,135.0,24,102.0,5,606.0,0,122.0,1,237.0,4,275.0,3,362.0,2,544.0,0,289.0,5,378.0,2,300.0,2,165.0,9,4062.0,0,380.0,2,1348.0,0,176.0,3,2673.0,0,820.0,0,929.0,0
992,SeLoger,1962.0,105.7,18.56,Appartement,"4 pièce - 3 chambre - s, s, 105,7 m², étage",69006,Lyon,45.778812844979825,4.8605934656663345,https://www.seloger.com/annonces/locations/appartement/lyon-69/260741493.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Brotteaux / Foch,Grand (T4+),2156.0,0,853.0,0,893.0,0,1148.0,0,962.0,0,1208.0,0,533.0,0,1209.0,0,1031.0,0,1186.0,0,1241.0,0,1578.0,0,818.0,0,897.0,0,1426.0,0,1193.0,0,994.0,0,2101.0,0,2501.0,0,3216.0,0
993,SeLoger,1740.0,99.3,17.52,Appartement,"3 pièce - 2 chambre - s, s, 99,3 m², étage",69006,Lyon,45.776238191676725,4.85424007875242,https://www.seloger.com/annonces/locations/appartement/lyon-69/260741523.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Brotteaux / Foch,T3,1802.0,0,657.0,0,741.0,0,825.0,0,724.0,0,887.0,0,43.0,2,1015.0,0,715.0,0,883.0,0,797.0,0,1149.0,0,473.0,1,954.0,0,883.0,0,763.0,0,731.0,0,1537.0,0,2030.0,0,2818.0,0
994,SeLoger,1420.0,70.1,20.26,Appartement,"3 pièce - 2 chambre - s, s, 70,1 m², Étage 5/8",69009,Lyon,45.80201395093558,4.825329917802786,https://www.seloger.com/annonces/locations/appartement/lyon-69/260159413.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Vaise / Valmy,T3,3636.0,0,1814.0,0,584.0,0,2762.0,0,2793.0,0,604.0,0,92.0,4,3462.0,0,1990.0,0,2454.0,0,2048.0,0,342.0,1,145.0,3,2865.0,0,2454.0,0,2871.0,0,185.0,1,3513.0,0,2371.0,0,762.0,0
995,SeLoger,950.0,56.9,16.7,Appartement,"2 pièce - 1 chambre - s, , 56,9 m², Étage 3/6",69002,Lyon,45.745204110553075,4.822971315329049,https://www.seloger.com/annonces/locations/appartement/lyon-69/260822363.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Confluence,T2,2144.0,0,133.0,7,482.0,1,1040.0,0,576.0,0,485.0,1,80.0,7,566.0,0,1042.0,0,242.0,3,229.0,1,840.0,0,85.0,6,4968.0,0,686.0,0,1026.0,0,88.0,2,2958.0,0,895.0,0,1697.0,0
996,SeLoger,1540.0,72.0,21.39,Appartement,"3 pièce - 2 chambre - s, s, 72 m², étage",69002,Lyon,45.73972698505324,4.822624059022596,https://www.seloger.com/annonces/locations/appartement/lyon-69/260317225.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,Confluence,T3,2724.0,0,205.0,4,371.0,1,1592.0,0,162.0,2,388.0,1,213.0,4,626.0,0,1433.0,0,321.0,2,513.0,0,1131.0,0,159.0,5,5526.0,0,885.0,0,1576.0,0,694.0,0,3555.0,0,303.0,1,1632.0,0
997,SeLoger,737.0,36.0,20.47,Appartement,"1 pièce - 36 m², RDC, dès le 02/03/2026",69003,Lyon,45.7491387872296,4.890464674160563,https://www.seloger.com/annonces/locations/appartement/lyon-69/260083065.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Montchat,Studio/T1,2970.0,0,323.0,3,702.0,0,3335.0,0,346.0,2,502.0,0,218.0,6,3062.0,0,773.0,0,250.0,1,1288.0,0,2273.0,0,115.0,8,4923.0,0,3318.0,0,1689.0,0,307.0,2,4906.0,0,1833.0,0,2858.0,0
998,SeLoger,710.0,55.0,12.91,Appartement,"3 pièce - 2 chambre - s, s, 55 m², étage",69007,Lyon,45.73554771647383,4.837634056857811,https://www.seloger.com/annonces/locations/appartement/lyon-7eme-69/jean-mace/258787847.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,Gerland,T3,3025.0,0,172.0,2,128.0,1,2003.0,0,866.0,0,166.0,2,203.0,9,1048.0,0,1301.0,0,166.0,3,306.0,1,842.0,0,107.0,6,5596.0,0,1094.0,0,1999.0,0,125.0,1,3942.0,0,150.0,1,697.0,0
999,SeLoger,1169.0,50.0,23.38,Appartement,"2 pièce - 1 chambre - s, , 50 m², Étage 2/6",69002,Lyon,45.74856041018574,4.826304653641209,https://www.seloger.com/annonces/locations/appartement/lyon-69/260516137.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Confluence,T2,1702.0,0,215.0,10,232.0,2,589.0,0,306.0,3,647.0,0,106.0,6,203.0,1,686.0,0,316.0,2,269.0,3,586.0,0,203.0,8,4518.0,0,316.0,2,572.0,0,218.0,3,2534.0,0,1277.0,0,1635.0,0
1000,SeLoger,1045.0,74.0,14.12,Appartement,"3 pièce - 2 chambre - s, s, 74 m², Étage - 5/7",69000,Lyon,45.77494575373096,4.837572085542685,https://www.seloger.com/annonces/locations/appartement/lyon-69/26IG2EHP56NW.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Grand Lyon / Autre,T3,680.0,0,203.0,16,400.0,6,459.0,2,369.0,3,407.0,1,189.0,11,418.0,2,757.0,0,236.0,3,484.0,1,227.0,2,249.0,6,1606.0,0,236.0,2,444.0,2,424.0,1,432.0,1,838.0,0,1665.0,0
