categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Vice - Tabac,tobacco,Tabac-presse-loto de St Just,45.7562911,4.8176539,69005
Vice - Tabac,tobacco,La pipe,45.7469219,4.8370247,69007
Vice - Tabac,tobacco,Le diplomate,45.758868,4.834044,69002
Vice - Tabac,tobacco,Tabac des 24 colonies,45.7623186,4.8287108,69005
Vice - Tabac,tobacco,Tabac-Presse,45.7569552,4.865091,69003
Vice - Tabac,tobacco,Le Juliette,45.7656278,4.8554987,69006
Vice - Tabac,tobacco,Tabac des Facultés,45.7437012,4.87858,69003
Vice - Tabac,tobacco,Le Clike,45.7788034,4.8407882,69004
Vice - Tabac,tobacco,Inconnu,45.7418855,4.8189816,69002
Vice - Tabac,tobacco,Tabac Sigarellum,45.7540892,4.8848402,69003
Vice - Tabac,tobacco,Tabac Vaise,45.7744701,4.8069456,69009
Vice - Tabac,tobacco,Tabac presse,45.7434844,4.874143,69008
Vice - Tabac,tobacco,Tabac de l'Europe,45.7574532,4.8355519,69002
Vice - Tabac,tobacco,Le Gitana,45.7633953,4.8419972,69003
Vice - Tabac,tobacco,Le quatre-vingt-dix,45.751896,4.8468231,69007
Vice - Tabac,tobacco,Tabac Cigarestore,45.7634283,4.8327255,69002
Vice - Tabac,tobacco,Inconnu,45.7890455,4.7899043,69009
Vice - Tabac,tobacco,Tabac Duchère,45.785749,4.7948161,69009
Vice - Tabac,tobacco,Le République,45.759902,4.8359048,69002
Vice - Tabac,tobacco,Tabac Presse Loto Nars,45.750304,4.8287029,69002
Vice - Tabac,tobacco,Le Marigny,45.7506477,4.8264433,69002
Vice - Tabac,tobacco,Tabac Presse Loto,45.7381769,4.8812213,69008
Vice - Tabac,tobacco,Tabac des pierres plantées,45.7730796,4.8319092,69001
Vice - Tabac,tobacco,Le Garibaldi,45.7677484,4.8505587,69006
Vice - Tabac,tobacco,La Madeleine,45.7484307,4.8479873,69007
Vice - Tabac,tobacco,Tabac-Presse-Loto Chauville,45.7535939,4.8385041,69007
Vice - Tabac,tobacco,Tabac de la Pêcherie,45.765629,4.8312988,69001
Vice - Tabac,tobacco,Le Radjah,45.7484335,4.8435626,69007
Vice - Tabac,tobacco,Tabac Primerose,45.7671144,4.8341919,69001
Vice - Tabac,tobacco,Tabac des Frères Lumière,45.7447562,4.8680834,69008
Vice - Tabac,tobacco,Vap'Station,45.7450226,4.8669763,69008
Vice - Tabac,tobacco,Tabac Hôtel de Ville,45.7669629,4.8358441,69001
Vice - Tabac,tobacco,Tabac,45.7662092,4.8330942,69001
Vice - Tabac,tobacco,Tabac Moumou,45.7553095,4.8434521,69003
Vice - Tabac,tobacco,Inconnu,45.7556635,4.8425198,69003
Vice - Tabac,tobacco,Le vendôme,45.7666223,4.8453139,69006
Vice - Tabac,tobacco,Inconnu,45.7647038,4.8286278,69005
Vice - Tabac,tobacco,Zahir Slimani,45.7486192,4.8395205,69007
Vice - Tabac,tobacco,Ziklop Stor,45.7733609,4.8093597,69009
Vice - Tabac,tobacco,Le Narval,45.7750017,4.8429733,69006
Vice - Tabac,tobacco,Tabac Grande Côte,45.7695012,4.8317441,69001
Vice - Tabac,tobacco,Inconnu,45.7481756,4.8553141,69007
Vice - Tabac,tobacco,Le Presse Book,45.7356951,4.835996,69007
Vice - Tabac,tobacco,Le P'tit Gerland,45.7289214,4.8376027,69007
Vice - Tabac,tobacco,Loto tabac presse,45.7698142,4.8567892,69006
Vice - Tabac,tobacco,Tabac de la Mairie,45.734928,4.874528,69008
Vice - Tabac,tobacco,Tabac des États,45.7318959,4.8660177,69008
Vice - Tabac,tobacco,Tabac de la Guillotière,45.7494435,4.8526767,69007
Vice - Tabac,tobacco,Bar tabac Cristal,45.779283,4.8323591,69004
Vice - Tabac,tobacco,Espace 117,45.7373405,4.8526546,69008
Vice - Tabac,tobacco,Tabac AG5,45.759054,4.8297217,69002
Vice - Tabac,tobacco,Tabac du Moulin à vent,45.7298015,4.8534952,69200
Vice - Tabac,tobacco,Le Lutetia,45.7482722,4.8803608,69003
Vice - Tabac,tobacco,Inconnu,45.7302264,4.885285,69008
Vice - Tabac,tobacco,Campus Chicha,45.7490962,4.8424853,69007
Vice - Tabac,tobacco,Inconnu,45.7554583,4.8082112,69005
Vice - Tabac,tobacco,La civette du pharaon,45.7846554,4.8526836,69006
Vice - Tabac,tobacco,Joko,45.7704859,4.8614987,69006
Vice - Tabac,tobacco,Magpresse,45.7627223,4.7976308,69005
Vice - Tabac,tobacco,Tabac Lafayette,45.7636113,4.8639656,69003
Vice - Tabac,tobacco,Inconnu,45.7756124,4.7951253,69009
Vice - Tabac,tobacco,Smoke Shop,45.7611909,4.8556693,69003
Gentrification - Épicerie Fine,deli,La maison du Bon vivant,45.7402766,4.8206888,69002
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7413622,4.8532015,69007
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Intercommunales,45.7419598,4.8535156,69007
Superstition - Pompes Funèbres,funeral_directors,Centre funéraire Rivière,45.7419547,4.8526203,69007
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7488875,4.793176,69005
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7815477,4.8326079,69004
Superstition - Pompes Funèbres,funeral_directors,Eco funéraire,45.743621,4.8785389,69003
Superstition - Pompes Funèbres,funeral_directors,Centre Funéraire Rivière,45.7436765,4.8771262,69003
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbre L'autre rive,45.7812056,4.8325461,69004
Superstition - Pompes Funèbres,funeral_directors,Pôle funéraire public Métropole de Lyon,45.7814017,4.8325706,69004
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Service Catholique des Funérailles,45.7583626,4.8296218,69002
Superstition - Pompes Funèbres,funeral_directors,Services funéraires PFG,45.73391,4.8764715,69008
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Générales Lyon Kruger,45.7363827,4.8802482,69008
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7699966,4.8564613,69006
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbres Chaboud,45.7433,4.8773096,69008
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7571382,4.8408884,69003
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Musulmanes Essalam,45.7571757,4.8436337,69003
Superstition - Pompes Funèbres,funeral_directors,L'Éternité,45.7532604,4.8452163,69007
Superstition - Pompes Funèbres,funeral_directors,Chambre Funéraire de la Croix-Rousse,45.7843796,4.8209347,69004
Superstition - Pompes Funèbres,funeral_directors,Lyon Berthelot,45.7409213,4.8558269,69007
Superstition - Pompes Funèbres,funeral_directors,Funeris,45.7406853,4.8556055,69007
Superstition - Pompes Funèbres,funeral_directors,Inconnu,45.740664,4.8556934,69007
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbres Rozier,45.7414039,4.8533792,69007
Superstition - Pompes Funèbres,funeral_directors,Service Chrétien de Funérailles,45.7568445,4.8249469,69005
Superstition - Pompes Funèbres,funeral_directors,La Maison des Obsèques,45.7423859,4.8512363,69007
Superstition - Pompes Funèbres,funeral_directors,Roc Eclerc,45.7426034,4.8938424,69003
Superstition - Pompes Funèbres,funeral_directors,Noir Clair,45.7492338,4.835097,69007
Superstition - Pompes Funèbres,funeral_directors,Pôle Funéraire Public,45.7435402,4.8784997,69003
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbres de France,45.7807424,4.8324598,69004
Superstition - Pompes Funèbres,funeral_directors,Centre funéraire Rivière,45.7809125,4.8324869,69004
Superstition - Pompes Funèbres,funeral_directors,Roc Eclerc,45.7816152,4.8326308,69004
Superstition - Pompes Funèbres,funeral_directors,Marbrerie Paul Favre,45.7818085,4.820814,69004
Superstition - Pompes Funèbres,funeral_directors,Inconnu,45.7629535,4.7974825,69005
Superstition - Pompes Funèbres,funeral_directors,Marbrerie - Zone technique,45.761335,4.8120077,69005
Vice - Bar,bar,Le Flan' Ruin Pub,45.7686724,4.8361996,69001
Vice - Bar,bar,Ninkasi Guillotière,45.7561747,4.84108,69003
Vice - Bar,bar,Bar de L'Eldorado,45.7544636,4.8458006,69003
Vice - Bar,bar,Le Monopol,45.7577889,4.8353255,69002
Vice - Bar,bar,Barabaar,45.7791637,4.8038231,69009
Vice - Bar,bar,Le Bonaparte,45.7593749,4.8274691,69005
Vice - Bar,bar,Café Hôtel Dieu,45.7591394,4.8358796,69002
Vice - Bar,bar,La Pêcherie,45.7660765,4.8310584,69001
Vice - Bar,bar,Pineapple Room,45.7651659,4.8545684,69006
Vice - Bar,bar,Le Biniou Du 6,45.7691134,4.8557919,69006
Vice - Bar,bar,Au Fût Et À Mesure Lyon,45.7688022,4.856825,69006
Vice - Bar,bar,You Cocktail Bar,45.767864,4.855429,69006
Vice - Bar,bar,Le Traquenard,45.7593345,4.8426163,69003
Vice - Bar,bar,Cigale,45.7646419,4.8277995,69005
Vice - Bar,bar,Tapas & Moove,45.7510908,4.8264084,69002
Vice - Bar,bar,Octopus,45.7510119,4.848466,69007
Vice - Bar,bar,Magic N' Bar,45.7798815,4.8349865,69004
Vice - Bar,bar,Hex'a gones,45.7598095,4.8479724,69003
Vice - Bar,bar,Le Carrefour,45.7480206,4.8809734,69003
Vice - Bar,bar,Inconnu,45.7484067,4.8807591,69003
Vice - Bar,bar,Brasserie des 2 avenues,45.7312459,4.8301513,69007
