Titre_Lieu,Prix,Infos,Lien,Image,DerniereVue,Quartier,Description
Location Stationnement,170 €par mois,"170 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-2-69002-f72f820e-30c6-41fc-807a-695d4e5c64bf/,,2026-09-24,,"Stationnement avec borne de recharge électrique plein secteur jacobins!. 9 rue de la Monnaie à Lyon 2ème, place de parking en sous-sol sécurisé à louer avec borne de recharge ZEPLUG disponible pour abonnement électrique charge locataire. Loyer HC trimestriel: 468 € ; provisions sur charges : 42 €; dépôt de garantie : 156 € ; honoraires : 192 €. Le loyer sera payé trimestriellement. Disponible immédiatement !"
Location Appartement 4 pièces 113 m2,1 520 €par mois,"1 520 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t4-lyon-5-69005-fb6091e2-5857-402f-bb87-c8f8bc84baa3/,,2026-09-24,,"Appartement 4 pièces 113m2 À Louer. 23 Rue du Docteur Alberic Pont à Lyon 5ème, appartement situé au 6ème étage avec ascenseur, T4 de 113m2, Il se compose d'une entrée avec rangement, d'une grande pièce de vie d'une surface de 34m² donnant accès à deux balcons avec une vue dégagée au sud. Une cuisine indépendante avec balcon, possibilité de l'ouvrir sur la pièce de vie. Côté nuit, vous retrouvez trois grandes chambres, dont deux avec balcons, un dressing (pouvant se rattacher à l'une des chambres), une salle de bains, une salle d'eau et un WC séparé. La copropriété est fermée et sécurisée avec portail électrique, vous bénéficiez d'un jardin collectif joliment arboré. Une place de stationnement en location est disponible en supplément. Chauffage collectif. Loyer HC : 1370€ Provision sur charges (régularisation annuelle) : 120€ Loyer de référence : 10,70€/m2 Loyer de référence majoré : 12,80€/m2 soit 1449,98€ Dépôt de garantie : 1370 € Honoraires : 1 472,64€ dont 339,84€ d'état des lieux Libre immédiatement !"
Location Appartement 4 pièces 108 m2,1 450 €par mois,"1 450 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t4-lyon-8-69008-173272dc-2cfc-48ec-996a-e0d8e770316c/,,2026-09-24,,"À louer – Grand T4 de 108 m² – Lyon 8ᵉ – Disponible immédiatement. Situé au 133 rue Challemel-Lacour, au 7ᵉ et dernier étage avec ascenseur, ce spacieux appartement T4 de 108 m² offre une vue entièrement dégagée et un cadre de vie lumineux. Il se compose de trois chambres, d’une cuisine, d’une salle de bains, de nombreux rangements ainsi que d’un vaste séjour ouvert sur la salle à manger. Cette configuration offre différentes possibilités d’aménagement et peut notamment convenir à une famille ou à une colocation, (possibilité de créer une 4ème chambre semi-ouverte dans le séjour) Deux balcons permettent de profiter d’un agréable espace extérieur. Un garage privatif en sous-sol complète ce bien. L'appartement bénéficie d'un accès rapide aux lignes de bus et au tramway T6, facilitant les déplacements au quotidien. Disponible immédiatement Loyer de base: 1291€ Loyer de référence majoré: 1291€ Complément de loyer: 0€"
Location Stationnement 14 m2,110 €par mois,"110 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-3-69003-4cd53631-ecef-44ec-aebf-219d111a764f/,,2026-09-24,,"Parking / box Lyon 3e Arrondissement. Exclusivité ORPI - LYON 3ème - 7 Rue professeur René Guillet - Dans une résidence sécurisée, garage fermé à louer en sous sol, au pied de la place Bir-Hakeim. Disponible de suite. Mesures : Largeur : 2m50 Hauteur : 2m20 Profondeur : 5m"
Location Appartement 4 pièces 62 m2,1 800 €par mois,"1 800 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t4-lyon-7-69007-04f9f32b-9b1f-40d8-88bb-5c9dda0d2a9f/,,2026-09-24,,"Appartement À Louer. APPARTEMENT D'EXCEPTION ENTIÈREMENT RÉNOVÉ AVEC TERRASSE – COLOCATION OU LOCATION COMPLÈTE Découvrez ce magnifique appartement entièrement refait à neuf, situé au 7 rue Lieutenant-Colonel Girard à Lyon. Alliant confort, modernité et prestations de qualité, il offre un cadre de vie idéal pour des colocataires comme pour une famille ou un groupe d'amis souhaitant louer l'ensemble du logement. Les points forts de l'appartement : Entièrement rénové avec des matériaux et finitions de qualité 3 belles chambres lumineuses Climatisation réversible dans chaque pièce pour un confort optimal en toute saison Agréable terrasse pour profiter des beaux jours Espaces de vie modernes et fonctionnels Proche des commerces, transports et commodités Option 1 : Colocation Chaque chambre est proposée au même tarif : 550 € de loyer + 50 € de charges Soit 600 € charges comprises par chambre Dépôt de garantie : 1 200 € par chambre Option 2 : Location de l'appartement entier 1 650 € de loyer + 150 € de charges 1 800 € charges comprises Dépôt de garantie : 3 600 € Rare sur le secteur, cet appartement offre un excellent niveau de confort et des équipements modernes dans un cadre agréable. Une opportunité idéale pour profiter d'un logement clé en main, prêt à accueillir ses futurs occupants. N'hésitez pas à nous contacter pour plus d'informations ou pour organiser une visite. _______ Votre dossier locataire : Démarquez vous et mettez toutes les chances de votre côté, merci d’utiliser DossierFacile (dossierfacile.logement.gouv.fr) pour constituer et nous envoyer votre dossier locataire, c'est un service gratuit du gouvernement qui aide les locataires à constituer un Dossier unique, complet et sécurisé afin de le partager simplement aux Propriétaires et Agences."
Location Appartement 2 pièces 91 m2,1 299 €par mois,"1 299 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t2-lyon-5-69005-9fb7354a-eafe-4418-8223-1afb9931d1df/,,2026-09-24,,"LOCATION : appartement T3 (91 m²) à LYON. EXCLUSIVITÉ - GRAND APPARTEMENT 3 PIÈCES À louer PRISE DE RENDEZ-VOUS UNIQUEMENT VIA LE FORMULAIRE DE CONTACT DE L’AGENCE. Un email automatique vous sera envoyé afin de réserver votre créneau de visite. Découvrez cet appartement de 4 pièces de 91,36 m² à LYON (69005). Il inclut deux chambres, une cuisine aménagée équipée et une salle de bains. Le chauffage de l'immeuble est collectif fonctionnant au gaz. Une cave ainsi qu'un garage fermé sont associés à cet appartement. Il se situe au 2e étage d'un immeuble des années 70 de 11 étages avec ascenseur. Des établissements scolaires de tous niveaux se trouvent à moins de 10 minutes à pied. Côté transports, il y a 17 lignes de bus, la gare Lyon Gorge de Loup ainsi que la station de métro Gorge de Loup (ligne D) juste à côté. Des autoroutes et la nationale N6 sont accessibles à moins de 9 km. Il y a aussi des restaurants, des commerces, deux supermarchés, des boulangeries, un bureau de poste et quatre épiceries. zone soumise à encadrement des loyers. Cet appartement est proposé à la location pour un loyer mensuel de 1299€ CC, avec 120€ de provision sur charges. Un complément de loyer de 82,63 euros est compris dedans. (Cave, garage, résidence avec accès sécurisé et espaces verts communs, vue dégagée.) Le dépôt de garantie demandé est de 1.178,95€. Le montant estimé des dépenses annuelles d'énergie pour un usage standard s'élève entre 1 070 € et 1 490€. (indexé sur l'année 2021). Disponible fin aout"
Location Appartement 1 pièce 39 m2,770 €par mois,"770 €par mois
PRIX EN BAISSE
LOCATION",https://www.orpi.com/annonce-location-appartement-t1-lyon-3-69003-5ff11d7a-a6d5-418c-874e-17ede385cbfc/,,2026-09-24,,"Grand T1 non meublé de 38.77 m² à 770 € CC. Grand T1 non meublé de 38.77 m² à 770 € CC avec place de parking - 101 AVENUE LACASSAGNE 69003 LYON. Appartement au 2ème étage avec ascenseur situé au 101 avenue Lacassagne 69003 LYON se compose : d'un hall d'entrée, d'une pièce à vivre, d'une cuisine séparée aménagée, d'une salle de bain avec WC, placards et séjour donnant sur loggia de 5 m². Le logement est loué avec une cave et une place de parking. Eau froide comprise dans la provision sur charges. Disponible dès maintenant - Visite accompagnée sur rendez-vous. Contacter le service location au 04.72.33.00.81."
Location Appartement 2 pièces 49 m2,1 072 €par mois,"1 072 €par mois
PRIX EN BAISSE
LOCATION",https://www.orpi.com/annonce-location-appartement-t2-lyon-3-69003-6bb5e09a-42de-460d-a834-cca4b6d2f493/,,2026-09-24,,"T2 meublé avec balcon – Lyon 3ème. Idéalement situé au 14 rue Lavoisier, au cœur du 3ème arrondissement de Lyon et à deux pas de la Gare Part-Dieu, ce bel appartement T2 meublé de 48,88 m² offre un cadre de vie de qualité. Il se situe au 2ème étage d’un immeuble moderne (construit entre 1991 et 2005) et sécurisé, avec ascenseur. L'appartement se compose d'une entrée menant à une pièce de vie lumineuse qui s'ouvre sur un agréable balcon. Vous profiterez d'une cuisine indépendante, entièrement équipée et aménagée sur mesure avec des matériaux de qualité. L'espace nuit comprend une chambre confortable ainsi qu'une salle de bains fonctionnelle. Le logement bénéficie d'une excellente performance énergétique (DPE classe C), garantissant un bon confort thermique et des dépenses maîtrisées. Transports : À seulement quelques minutes à pied de la Gare Part-Dieu (Métro B, Tramways T1, T3, T4, Rhônexpress et trains). Quartier : Proche de tous les commerces, du centre commercial Westfield Part-Dieu et des commodités du quotidien. Loyer Hors Charges (HC) : 919 € Provision pour charges : 80,00 € Loyer Charges Comprises (CC) : 999 € Loyer de référence : 801.63 € Disponible de suite. Pour toute visite, contactez le service location au 04.72.33.00.81. Pour déposer votre dossier, rendez-vous sur DossierFacile."
Location Appartement 3 pièces 65 m2,1 192 €par mois,"1 192 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t3-lyon-3-69003-3e3cd914-906b-4703-86c7-29d7af67d7f0/,,2026-09-24,,"Appartement meublé Lyon 3 pièce(s). MERCI DE PRENDRE RDV EN LIGNE VIA LE FORMULAIRE DE CONTAT AGENCE - Vous recevrez un lien par mai pour la prise de rendez-vous et le dépôt de dossier. 1 rue de l'Espérance, appartement de type 3 meublé d'une surface de 65,42 m². Au rez-de-chaussée surélevé meublé avec du mobilier contemporain. Appartement composé d'un hall d'entrée desservant un séjour, deux chambres avec placards, une cuisine équipée et aménagée (lave-vaisselle, plaques de cuisson, réfrigérateur, congélateur, hotte, four), une salle d'eau avec lave-linge, WC séparés. Appartement disponible rapidement. Zone soumise a l'encadrement des loyers : Loyer HC : 1058€ Provisions pour charges : 92€ (parties communes, entretien de chaudière)"
Location Stationnement,120 €par mois,"120 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-3-69003-72881a96-8af2-4ee5-8f90-d588a30cbcc1/,,2026-09-24,,"Garage à louer à 110 € CC. Garage à louer à 110 € CC - Proche Part-Dieu - 294 rue Paul Bert, 69003 LYON. Dans une copropriété récente et sécurisée, box fermé à louer d'une surface de 17.89 m². Hauteur 2.05 mètres Proximité Gare de la Part-Dieu. Dépôt de garantie : 103 € Honoraires de location : 178.99 € Disponible de suite. Visite accompagnée sur rendez-vous. Contacter le service location au 04.72.33.00.81"
