categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Gentrification - Salle Sport,fitness_centre,Agogée,45.7667831,4.8514125,69006.0
Gentrification - Crèche,childcare,Crèche Melba,45.778298,4.815654,69004.0
Gentrification - Épicerie Fine,deli,Pomme d'Amour,45.7670927,4.8430778,69006.0
Gentrification - Atelier Vélo,bicycle,En Selle Marcel,45.761103,4.8377031,69002.0
Gentrification - Atelier Vélo,bicycle,En Selle Marcel,45.7666635,4.8441096,69006.0
Nuisance - École,school,École élémentaire Pompidou,45.7596511,4.8674324,69003.0
Nuisance - Aire de jeux,playground,Inconnu,45.7533513,4.8667502,69003.0
Nuisance - Aire de jeux,playground,Inconnu,45.7774428,4.8313649,69004.0
Nuisance - Aire de jeux,playground,Inconnu,45.7596149,4.8714815,69003.0
Gentrification - Crèche,childcare,Mes copains et moi,45.7769433,4.8303361,69004.0
Nuisance - Aire de jeux,playground,Inconnu,45.7774479,4.8316599,69004.0
Nuisance - Aire de jeux,playground,Inconnu,45.7774425,4.8314707,69004.0
Vice - Bar,bar,The black pearl tavern,45.7638225,4.864709,69006.0
Gentrification - Atelier Vélo,bicycle,Vélos et Compagnie,45.7775529,4.8300857,69004.0
Vice - Kebab,kebab,Inconnu,45.7675946,4.8318894,69001.0
Vice - Bar,bar,Nakamal,45.7680588,4.8008057,69009.0
Vice - Bar,bar,Les petits joueurs,45.7590777,4.8254627,69005.0
Vice - Bar,bar,Imohtep Bar,45.7585864,4.8253433,69005.0
Vice - Bar,bar,L'horacio,45.7488918,4.8619846,69003.0
Vice - Bar,bar,Tic & Tac,45.769989,4.8504268,69006.0
Gentrification - Épicerie Fine,deli,Bô&Me,45.7692512,4.8507097,69006.0
Gentrification - Atelier Vélo,bicycle,Repair and run,45.7635019,4.8426045,69003.0
Nuisance - Aire de jeux,playground,Inconnu,45.7728928,4.8293442,69001.0
Nuisance - Aire de jeux,playground,Inconnu,45.7686733,4.8155113,69001.0
Nuisance - Aire de jeux,playground,Inconnu,45.7774845,4.8314689,69004.0
Nuisance - Aire de jeux,playground,Inconnu,45.7308757,4.8844942,69008.0
Nuisance - Aire de jeux,playground,Inconnu,45.7377874,4.837207,69007.0
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7413622,4.8532015,69007.0
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Intercommunales,45.7419598,4.8535156,69007.0
Superstition - Pompes Funèbres,funeral_directors,Centre funéraire Rivière,45.7419547,4.8526203,69007.0
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7488875,4.793176,69005.0
